,hippieName
S35E1_HUMAN,1
GHC1_HUMAN,1
ROP1B_HUMAN,1
RBMX_HUMAN,1
MMP17_HUMAN,1
IRK2_HUMAN,1
RIMS1_HUMAN,1
GDPD3_HUMAN,1
ECM1_HUMAN,1
ENPP4_HUMAN,1
STK31_HUMAN,1
CQ101_HUMAN,1
TMC6_HUMAN,1
MADD_HUMAN,1
HXA5_HUMAN,1
MTER2_HUMAN,1
NHSL1_HUMAN,1
AT11C_HUMAN,1
UFL1_HUMAN,1
MDGA1_HUMAN,1
RCBT2_HUMAN,1
VKORL_HUMAN,1
KCP_HUMAN,1
KCNE2_HUMAN,1
SG2A2_HUMAN,1
CUTC_HUMAN,1
CRCM1_HUMAN,1
PKHA3_HUMAN,1
CCD91_HUMAN,1
CC125_HUMAN,1
MYH13_HUMAN,1
LRRF1_HUMAN,1
ZN552_HUMAN,1
SPEM1_HUMAN,1
K1731_HUMAN,1
GBG3_HUMAN,1
IF4A3_HUMAN,1
LRC8A_HUMAN,1
CH047_HUMAN,1
RPA34_HUMAN,1
MKL2_HUMAN,1
SHAN3_HUMAN,1
TF2AY_HUMAN,1
RALY_HUMAN,1
LYOX_HUMAN,1
F135A_HUMAN,1
TSYL5_HUMAN,1
LRIT1_HUMAN,1
IQGA3_HUMAN,1
TRPM4_HUMAN,1
H2AY_HUMAN,1
CLC5A_HUMAN,1
ZN165_HUMAN,1
PDLI4_HUMAN,1
IFN14_HUMAN,1
B3GL2_HUMAN,1
CI116_HUMAN,1
NOGG_HUMAN,1
CCD94_HUMAN,1
BEND5_HUMAN,1
GAB3_HUMAN,1
TMM31_HUMAN,1
SG3A1_HUMAN,1
A16L1_HUMAN,1
MAK_HUMAN,1
NOP58_HUMAN,1
HYAL3_HUMAN,1
RGS13_HUMAN,1
ARC_HUMAN,1
CENPR_HUMAN,1
S10AA_HUMAN,1
TRI41_HUMAN,1
ARL4C_HUMAN,1
K0355_HUMAN,1
KCNC3_HUMAN,1
KR197_HUMAN,1
PPM1E_HUMAN,1
CBPA4_HUMAN,1
PCD20_HUMAN,1
AFF3_HUMAN,1
CLD16_HUMAN,1
S14L5_HUMAN,1
OXER1_HUMAN,1
KIF4B_HUMAN,1
PCDA8_HUMAN,1
TP53B_HUMAN,1
NOX1_HUMAN,1
K1161_HUMAN,1
PP1R8_HUMAN,1
CXD4_HUMAN,1
GPSM1_HUMAN,1
CH059_HUMAN,1
TSN_HUMAN,1
DACT1_HUMAN,1
HEM1_HUMAN,1
PIGH_HUMAN,1
I13R2_HUMAN,1
PTPR2_HUMAN,1
COGA1_HUMAN,1
CCNA2_HUMAN,1
DPOE3_HUMAN,1
APOL1_HUMAN,1
MIF_HUMAN,1
PNKP_HUMAN,1
CH076_HUMAN,1
GPR15_HUMAN,1
DDI1_HUMAN,1
FAM9B_HUMAN,1
PAN3_HUMAN,1
STX1B_HUMAN,1
SNTG2_HUMAN,1
AQP4_HUMAN,1
ULK2_HUMAN,1
BICR1_HUMAN,1
PPM1K_HUMAN,1
PDE1B_HUMAN,1
HARB1_HUMAN,1
ORML1_HUMAN,1
CDK18_HUMAN,1
TGON2_HUMAN,1
KERA_HUMAN,1
WIPI3_HUMAN,1
